Label,No,B4,B3,B2,B1,F1,F2,F3,F4,POSB4,POSB3,POSB2,POSB1,POSF1,POSF2,POSF3,POSF4
1,6,文,把,车,子,停,在,工,厂,n,p,zg,ng,v,p,n,zg
1,7,把,车,子,停,在,工,厂,门,p,zg,ng,v,p,n,zg,n
1,8,车,子,停,在,工,厂,门,口,zg,ng,v,p,n,zg,n,q
0,9,子,停,在,工,厂,门,口,，,ng,v,p,n,zg,n,q,x
1,10,停,在,工,厂,门,口,，,钻,v,p,n,zg,n,q,x,v
0,11,在,工,厂,门,口,，,钻,出,p,n,zg,n,q,x,v,v
1,12,工,厂,门,口,，,钻,出,车,n,zg,n,q,x,v,v,zg
1,13,厂,门,口,，,钻,出,车,子,zg,n,q,x,v,v,zg,ng
1,14,门,口,，,钻,出,车,子,，,n,q,x,v,v,zg,ng,x
1,15,口,，,钻,出,车,子,，,一,q,x,v,v,zg,ng,x,m
0,16,，,钻,出,车,子,，,一,股,x,v,v,zg,ng,x,m,q
1,17,钻,出,车,子,，,一,股,热,v,v,zg,ng,x,m,q,n
1,18,出,车,子,，,一,股,热,浪,v,zg,ng,x,m,q,n,n
0,19,车,子,，,一,股,热,浪,扑,zg,ng,x,m,q,n,n,v
1,20,子,，,一,股,热,浪,扑,面,ng,x,m,q,n,n,v,n
0,21,，,一,股,热,浪,扑,面,而,x,m,q,n,n,v,n,c
1,22,一,股,热,浪,扑,面,而,来,m,q,n,n,v,n,c,v
0,23,股,热,浪,扑,面,而,来,，,q,n,n,v,n,c,v,x
0,24,热,浪,扑,面,而,来,，,烈,n,n,v,n,c,v,x,a
0,25,浪,扑,面,而,来,，,烈,日,n,v,n,c,v,x,a,m
1,26,扑,面,而,来,，,烈,日,闪,v,n,c,v,x,a,m,v
1,27,面,而,来,，,烈,日,闪,烁,n,c,v,x,a,m,v,zg
0,28,而,来,，,烈,日,闪,烁,得,c,v,x,a,m,v,zg,ud
1,29,来,，,烈,日,闪,烁,得,他,v,x,a,m,v,zg,ud,r
0,30,，,烈,日,闪,烁,得,他,睁,x,a,m,v,zg,ud,r,v
0,31,烈,日,闪,烁,得,他,睁,不,a,m,v,zg,ud,r,v,d
1,32,日,闪,烁,得,他,睁,不,开,m,v,zg,ud,r,v,d,v
1,33,闪,烁,得,他,睁,不,开,眼,v,zg,ud,r,v,d,v,n
0,34,烁,得,他,睁,不,开,眼,睛,zg,ud,r,v,d,v,n,zg
1,35,得,他,睁,不,开,眼,睛,。,ud,r,v,d,v,n,zg,x
1,36,他,睁,不,开,眼,睛,。,/s,r,v,d,v,n,zg,x,NAN
0,37,睁,不,开,眼,睛,。,/s,/s,v,d,v,n,zg,x,NAN,NAN
1,38,不,开,眼,睛,。,/s,/s,/s,d,v,n,zg,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,走,进,工,厂,NAN,NAN,NAN,NAN,v,v,n,zg
0,1,/s,/s,/s,走,进,工,厂,，,NAN,NAN,NAN,v,v,n,zg,x
1,2,/s,/s,走,进,工,厂,，,茶,NAN,NAN,v,v,n,zg,x,n
0,3,/s,走,进,工,厂,，,茶,叶,NAN,v,v,n,zg,x,n,nr
1,4,走,进,工,厂,，,茶,叶,的,v,v,n,zg,x,n,nr,uj
1,5,进,工,厂,，,茶,叶,的,清,v,n,zg,x,n,nr,uj,t
0,6,工,厂,，,茶,叶,的,清,香,n,zg,x,n,nr,uj,t,ns
0,7,厂,，,茶,叶,的,清,香,就,zg,x,n,nr,uj,t,ns,d
1,8,，,茶,叶,的,清,香,就,弥,x,n,nr,uj,t,ns,d,v
0,9,茶,叶,的,清,香,就,弥,漫,n,nr,uj,t,ns,d,v,a
1,10,叶,的,清,香,就,弥,漫,在,nr,uj,t,ns,d,v,a,p
1,11,的,清,香,就,弥,漫,在,空,uj,t,ns,d,v,a,p,n
0,12,清,香,就,弥,漫,在,空,气,t,ns,d,v,a,p,n,n
1,13,香,就,弥,漫,在,空,气,中,ns,d,v,a,p,n,n,f
1,14,就,弥,漫,在,空,气,中,，,d,v,a,p,n,n,f,x
0,15,弥,漫,在,空,气,中,，,再,v,a,p,n,n,f,x,d
1,16,漫,在,空,气,中,，,再,夹,a,p,n,n,f,x,d,n
1,17,在,空,气,中,，,再,夹,杂,p,n,n,f,x,d,n,v
1,18,空,气,中,，,再,夹,杂,着,n,n,f,x,d,n,v,uz
1,19,气,中,，,再,夹,杂,着,茉,n,f,x,d,n,v,uz,n
0,20,中,，,再,夹,杂,着,茉,莉,f,x,d,n,v,uz,n,nrt
0,21,，,再,夹,杂,着,茉,莉,花,x,d,n,v,uz,n,nrt,v
1,22,再,夹,杂,着,茉,莉,花,的,d,n,v,uz,n,nrt,v,uj
0,23,夹,杂,着,茉,莉,花,的,香,n,v,uz,n,nrt,v,uj,ns
0,24,杂,着,茉,莉,花,的,香,味,v,uz,n,nrt,v,uj,ns,n
0,25,着,茉,莉,花,的,香,味,，,uz,n,nrt,v,uj,ns,n,x
1,26,茉,莉,花,的,香,味,，,又,n,nrt,v,uj,ns,n,x,d
0,27,莉,花,的,香,味,，,又,甜,nrt,v,uj,ns,n,x,d,a
1,28,花,的,香,味,，,又,甜,净,v,uj,ns,n,x,d,a,a
1,29,的,香,味,，,又,甜,净,，,uj,ns,n,x,d,a,a,x
1,30,香,味,，,又,甜,净,，,又,ns,n,x,d,a,a,x,d
0,31,味,，,又,甜,净,，,又,清,n,x,d,a,a,x,d,t
1,32,，,又,甜,净,，,又,清,新,x,d,a,a,x,d,t,a
1,33,又,甜,净,，,又,清,新,，,d,a,a,x,d,t,a,x
1,34,甜,净,，,又,清,新,，,这,a,a,x,d,t,a,x,r
0,35,净,，,又,清,新,，,这,味,a,x,d,t,a,x,r,n
1,36,，,又,清,新,，,这,味,道,x,d,t,a,x,r,n,q
1,37,又,清,新,，,这,味,道,是,d,t,a,x,r,n,q,v
1,38,清,新,，,这,味,道,是,柏,t,a,x,r,n,q,v,nr
0,39,新,，,这,味,道,是,柏,霈,a,x,r,n,q,v,nr,g
1,40,，,这,味,道,是,柏,霈,文,x,r,n,q,v,nr,g,n
1,41,这,味,道,是,柏,霈,文,永,r,n,q,v,nr,g,n,ns
0,42,味,道,是,柏,霈,文,永,远,n,q,v,nr,g,n,ns,a
1,43,道,是,柏,霈,文,永,远,闻,q,v,nr,g,n,ns,a,v
1,44,是,柏,霈,文,永,远,闻,不,v,nr,g,n,ns,a,v,d
0,45,柏,霈,文,永,远,闻,不,厌,nr,g,n,ns,a,v,d,v
1,46,霈,文,永,远,闻,不,厌,的,g,n,ns,a,v,d,v,uj
1,47,文,永,远,闻,不,厌,的,。,n,ns,a,v,d,v,uj,x
1,48,永,远,闻,不,厌,的,。,/s,ns,a,v,d,v,uj,x,NAN
0,49,远,闻,不,厌,的,。,/s,/s,a,v,d,v,uj,x,NAN,NAN
1,50,闻,不,厌,的,。,/s,/s,/s,v,d,v,uj,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,深,呼,吸,了,NAN,NAN,NAN,NAN,a,zg,v,ul
0,1,/s,/s,/s,深,呼,吸,了,一,NAN,NAN,NAN,a,zg,v,ul,m
0,2,/s,/s,深,呼,吸,了,一,下,NAN,NAN,a,zg,v,ul,m,f
1,3,/s,深,呼,吸,了,一,下,，,NAN,a,zg,v,ul,m,f,x
1,4,深,呼,吸,了,一,下,，,柏,a,zg,v,ul,m,f,x,nr
0,5,呼,吸,了,一,下,，,柏,霈,zg,v,ul,m,f,x,nr,g
1,6,吸,了,一,下,，,柏,霈,文,v,ul,m,f,x,nr,g,n
1,7,了,一,下,，,柏,霈,文,觉,ul,m,f,x,nr,g,n,v
0,8,一,下,，,柏,霈,文,觉,得,m,f,x,nr,g,n,v,ud
1,9,下,，,柏,霈,文,觉,得,精,f,x,nr,g,n,v,ud,n
1,10,，,柏,霈,文,觉,得,精,神,x,nr,g,n,v,ud,n,n
0,11,柏,霈,文,觉,得,精,神,一,nr,g,n,v,ud,n,n,m
1,12,霈,文,觉,得,精,神,一,振,g,n,v,ud,n,n,m,v
0,13,文,觉,得,精,神,一,振,，,n,v,ud,n,n,m,v,x
1,14,觉,得,精,神,一,振,，,好,v,ud,n,n,m,v,x,a
1,15,得,精,神,一,振,，,好,像,ud,n,n,m,v,x,a,v
1,16,精,神,一,振,，,好,像,那,n,n,m,v,x,a,v,r
1,17,神,一,振,，,好,像,那,炙,n,m,v,x,a,v,r,zg
0,18,一,振,，,好,像,那,炙,人,m,v,x,a,v,r,zg,n
1,19,振,，,好,像,那,炙,人,的,v,x,a,v,r,zg,n,uj
0,20,，,好,像,那,炙,人,的,暑,x,a,v,r,zg,n,uj,t
0,21,好,像,那,炙,人,的,暑,气,a,v,r,zg,n,uj,t,n
0,22,像,那,炙,人,的,暑,气,都,v,r,zg,n,uj,t,n,d
1,23,那,炙,人,的,暑,气,都,被,r,zg,n,uj,t,n,d,p
0,24,炙,人,的,暑,气,都,被,这,zg,n,uj,t,n,d,p,r
1,25,人,的,暑,气,都,被,这,茶,n,uj,t,n,d,p,r,n
1,26,的,暑,气,都,被,这,茶,叶,uj,t,n,d,p,r,n,nr
1,27,暑,气,都,被,这,茶,叶,香,t,n,d,p,r,n,nr,ns
1,28,气,都,被,这,茶,叶,香,驱,n,d,p,r,n,nr,ns,v
0,29,都,被,这,茶,叶,香,驱,散,d,p,r,n,nr,ns,v,v
1,30,被,这,茶,叶,香,驱,散,了,p,r,n,nr,ns,v,v,ul
1,31,这,茶,叶,香,驱,散,了,不,r,n,nr,ns,v,v,ul,d
0,32,茶,叶,香,驱,散,了,不,少,n,nr,ns,v,v,ul,d,a
1,33,叶,香,驱,散,了,不,少,。,nr,ns,v,v,ul,d,a,x
1,34,香,驱,散,了,不,少,。,/s,ns,v,v,ul,d,a,x,NAN
1,35,驱,散,了,不,少,。,/s,/s,v,v,ul,d,a,x,NAN,NAN
1,36,散,了,不,少,。,/s,/s,/s,v,ul,d,a,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,经,过,了,机,NAN,NAN,NAN,NAN,n,ug,ul,n
0,1,/s,/s,/s,经,过,了,机,器,NAN,NAN,NAN,n,ug,ul,n,n
1,2,/s,/s,经,过,了,机,器,房,NAN,NAN,n,ug,ul,n,n,n
1,3,/s,经,过,了,机,器,房,，,NAN,n,ug,ul,n,n,n,x
0,4,经,过,了,机,器,房,，,那,n,ug,ul,n,n,n,x,r
1,5,过,了,机,器,房,，,那,烤,ug,ul,n,n,n,x,r,v
1,6,了,机,器,房,，,那,烤,炉,ul,n,n,n,x,r,v,zg
1,7,机,器,房,，,那,烤,炉,的,n,n,n,x,r,v,zg,uj
1,8,器,房,，,那,烤,炉,的,声,n,n,x,r,v,zg,uj,n
0,9,房,，,那,烤,炉,的,声,音,n,x,r,v,zg,uj,n,n
0,10,，,那,烤,炉,的,声,音,和,x,r,v,zg,uj,n,n,c
1,11,那,烤,炉,的,声,音,和,搓,r,v,zg,uj,n,n,c,v
0,12,烤,炉,的,声,音,和,搓,茶,v,zg,uj,n,n,c,v,n
1,13,炉,的,声,音,和,搓,茶,机,zg,uj,n,n,c,v,n,n
1,14,的,声,音,和,搓,茶,机,的,uj,n,n,c,v,n,n,uj
1,15,声,音,和,搓,茶,机,的,声,n,n,c,v,n,n,uj,n
0,16,音,和,搓,茶,机,的,声,音,n,c,v,n,n,uj,n,n
0,17,和,搓,茶,机,的,声,音,轧,c,v,n,n,uj,n,n,v
1,18,搓,茶,机,的,声,音,轧,轧,v,n,n,uj,n,n,v,v
0,19,茶,机,的,声,音,轧,轧,的,n,n,uj,n,n,v,v,uj
1,20,机,的,声,音,轧,轧,的,响,n,uj,n,n,v,v,uj,zg
0,21,的,声,音,轧,轧,的,响,着,uj,n,n,v,v,uj,zg,uz
0,22,声,音,轧,轧,的,响,着,，,n,n,v,v,uj,zg,uz,x
1,23,音,轧,轧,的,响,着,，,好,n,v,v,uj,zg,uz,x,a
1,24,轧,轧,的,响,着,，,好,单,v,v,uj,zg,uz,x,a,n
1,25,轧,的,响,着,，,好,单,调,v,uj,zg,uz,x,a,n,v
1,26,的,响,着,，,好,单,调,，,uj,zg,uz,x,a,n,v,x
1,27,响,着,，,好,单,调,，,好,zg,uz,x,a,n,v,x,a
0,28,着,，,好,单,调,，,好,倦,uz,x,a,n,v,x,a,zg
1,29,，,好,单,调,，,好,倦,怠,x,a,n,v,x,a,zg,ag
1,30,好,单,调,，,好,倦,怠,。,a,n,v,x,a,zg,ag,x
1,31,单,调,，,好,倦,怠,。,/s,n,v,x,a,zg,ag,x,NAN
0,32,调,，,好,倦,怠,。,/s,/s,v,x,a,zg,ag,x,NAN,NAN
1,33,，,好,倦,怠,。,/s,/s,/s,x,a,zg,ag,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,炉,边,的,烤,NAN,NAN,NAN,NAN,zg,d,uj,v
0,1,/s,/s,/s,炉,边,的,烤,茶,NAN,NAN,NAN,zg,d,uj,v,n
0,2,/s,/s,炉,边,的,烤,茶,师,NAN,NAN,zg,d,uj,v,n,ng
1,3,/s,炉,边,的,烤,茶,师,傅,NAN,zg,d,uj,v,n,ng,nr
1,4,炉,边,的,烤,茶,师,傅,抬,zg,d,uj,v,n,ng,nr,v
1,5,边,的,烤,茶,师,傅,抬,起,d,uj,v,n,ng,nr,v,v
0,6,的,烤,茶,师,傅,抬,起,头,uj,v,n,ng,nr,v,v,n
1,7,烤,茶,师,傅,抬,起,头,来,v,n,ng,nr,v,v,n,v
0,8,茶,师,傅,抬,起,头,来,，,n,ng,nr,v,v,n,v,x
0,9,师,傅,抬,起,头,来,，,对,ng,nr,v,v,n,v,x,p
0,10,傅,抬,起,头,来,，,对,柏,nr,v,v,n,v,x,p,nr
1,11,抬,起,头,来,，,对,柏,霈,v,v,n,v,x,p,nr,g
1,12,起,头,来,，,对,柏,霈,文,v,n,v,x,p,nr,g,n
0,13,头,来,，,对,柏,霈,文,点,n,v,x,p,nr,g,n,m
0,14,来,，,对,柏,霈,文,点,首,v,x,p,nr,g,n,m,m
1,15,，,对,柏,霈,文,点,首,为,x,p,nr,g,n,m,m,p
0,16,对,柏,霈,文,点,首,为,礼,p,nr,g,n,m,m,p,n
1,17,柏,霈,文,点,首,为,礼,。,nr,g,n,m,m,p,n,x
0,18,霈,文,点,首,为,礼,。,/s,g,n,m,m,p,n,x,NAN
1,19,文,点,首,为,礼,。,/s,/s,n,m,m,p,n,x,NAN,NAN
1,20,点,首,为,礼,。,/s,/s,/s,m,m,p,n,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,火,在,机,器,NAN,NAN,NAN,NAN,n,p,n,n
0,1,/s,/s,/s,火,在,机,器,下,NAN,NAN,NAN,n,p,n,n,f
1,2,/s,/s,火,在,机,器,下,燃,NAN,NAN,n,p,n,n,f,n
0,3,/s,火,在,机,器,下,燃,着,NAN,n,p,n,n,f,n,uz
1,4,火,在,机,器,下,燃,着,，,n,p,n,n,f,n,uz,x
0,5,在,机,器,下,燃,着,，,整,p,n,n,f,n,uz,x,v
1,6,机,器,下,燃,着,，,整,个,n,n,f,n,uz,x,v,q
1,7,器,下,燃,着,，,整,个,机,n,f,n,uz,x,v,q,n
1,8,下,燃,着,，,整,个,机,器,f,n,uz,x,v,q,n,n
0,9,燃,着,，,整,个,机,器,房,n,uz,x,v,q,n,n,n
1,10,着,，,整,个,机,器,房,都,uz,x,v,q,n,n,n,d
0,11,，,整,个,机,器,房,都,变,x,v,q,n,n,n,d,v
1,12,整,个,机,器,房,都,变,成,v,q,n,n,n,d,v,n
1,13,个,机,器,房,都,变,成,了,q,n,n,n,d,v,n,ul
1,14,机,器,房,都,变,成,了,烤,n,n,n,d,v,n,ul,v
0,15,器,房,都,变,成,了,烤,箱,n,n,d,v,n,ul,v,q
1,16,房,都,变,成,了,烤,箱,，,n,d,v,n,ul,v,q,x
1,17,都,变,成,了,烤,箱,，,那,d,v,n,ul,v,q,x,r
0,18,变,成,了,烤,箱,，,那,些,v,n,ul,v,q,x,r,q
1,19,成,了,烤,箱,，,那,些,师,n,ul,v,q,x,r,q,ng
1,20,了,烤,箱,，,那,些,师,傅,ul,v,q,x,r,q,ng,nr
0,21,烤,箱,，,那,些,师,傅,和,v,q,x,r,q,ng,nr,c
1,22,箱,，,那,些,师,傅,和,女,q,x,r,q,ng,nr,c,b
0,23,，,那,些,师,傅,和,女,工,x,r,q,ng,nr,c,b,n
1,24,那,些,师,傅,和,女,工,都,r,q,ng,nr,c,b,n,d
1,25,些,师,傅,和,女,工,都,汗,q,ng,nr,c,b,n,d,zg
0,26,师,傅,和,女,工,都,汗,流,ng,nr,c,b,n,d,zg,n
1,27,傅,和,女,工,都,汗,流,不,nr,c,b,n,d,zg,n,d
1,28,和,女,工,都,汗,流,不,已,c,b,n,d,zg,n,d,d
0,29,女,工,都,汗,流,不,已,。,b,n,d,zg,n,d,d,x
1,30,工,都,汗,流,不,已,。,/s,n,d,zg,n,d,d,x,NAN
1,31,都,汗,流,不,已,。,/s,/s,d,zg,n,d,d,x,NAN,NAN
1,32,汗,流,不,已,。,/s,/s,/s,zg,n,d,d,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,柏,霈,文,在,NAN,NAN,NAN,NAN,nr,g,n,p
0,1,/s,/s,/s,柏,霈,文,在,机,NAN,NAN,NAN,nr,g,n,p,n
1,2,/s,/s,柏,霈,文,在,机,器,NAN,NAN,nr,g,n,p,n,n
0,3,/s,柏,霈,文,在,机,器,房,NAN,nr,g,n,p,n,n,n
1,4,柏,霈,文,在,机,器,房,门,nr,g,n,p,n,n,n,n
0,5,霈,文,在,机,器,房,门,口,g,n,p,n,n,n,n,q
1,6,文,在,机,器,房,门,口,站,n,p,n,n,n,n,q,v
0,7,在,机,器,房,门,口,站,了,p,n,n,n,n,q,v,ul
0,8,机,器,房,门,口,站,了,片,n,n,n,n,q,v,ul,q
1,9,器,房,门,口,站,了,片,刻,n,n,n,q,v,ul,q,v
1,10,房,门,口,站,了,片,刻,，,n,n,q,v,ul,q,v,x
1,11,门,口,站,了,片,刻,，,再,n,q,v,ul,q,v,x,d
0,12,口,站,了,片,刻,，,再,继,q,v,ul,q,v,x,d,v
1,13,站,了,片,刻,，,再,继,续,v,ul,q,v,x,d,v,v
1,14,了,片,刻,，,再,继,续,往,ul,q,v,x,d,v,v,zg
1,15,片,刻,，,再,继,续,往,前,q,v,x,d,v,v,zg,f
0,16,刻,，,再,继,续,往,前,走,v,x,d,v,v,zg,f,v
1,17,，,再,继,续,往,前,走,。,x,d,v,v,zg,f,v,x
0,18,再,继,续,往,前,走,。,/s,d,v,v,zg,f,v,x,NAN
0,19,继,续,往,前,走,。,/s,/s,v,v,zg,f,v,x,NAN,NAN
1,20,续,往,前,走,。,/s,/s,/s,v,zg,f,v,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,晒,茶,场,上,NAN,NAN,NAN,NAN,v,n,q,f
1,1,/s,/s,/s,晒,茶,场,上,正,NAN,NAN,NAN,v,n,q,f,d
1,2,/s,/s,晒,茶,场,上,正,在,NAN,NAN,v,n,q,f,d,p
0,3,/s,晒,茶,场,上,正,在,晒,NAN,v,n,q,f,d,p,v
1,4,晒,茶,场,上,正,在,晒,着,v,n,q,f,d,p,v,uz
0,5,茶,场,上,正,在,晒,着,茶,n,q,f,d,p,v,uz,n
1,6,场,上,正,在,晒,着,茶,青,q,f,d,p,v,uz,n,ns
1,7,上,正,在,晒,着,茶,青,，,f,d,p,v,uz,n,ns,x
1,8,正,在,晒,着,茶,青,，,有,d,p,v,uz,n,ns,x,v
0,9,在,晒,着,茶,青,，,有,三,p,v,uz,n,ns,x,v,m
1,10,晒,着,茶,青,，,有,三,四,v,uz,n,ns,x,v,m,m
1,11,着,茶,青,，,有,三,四,个,uz,n,ns,x,v,m,m,q
1,12,茶,青,，,有,三,四,个,女,n,ns,x,v,m,m,q,b
0,13,青,，,有,三,四,个,女,工,ns,x,v,m,m,q,b,n
0,14,，,有,三,四,个,女,工,，,x,v,m,m,q,b,n,x
1,15,有,三,四,个,女,工,，,戴,v,m,m,q,b,n,x,v
0,16,三,四,个,女,工,，,戴,着,m,m,q,b,n,x,v,uz
1,17,四,个,女,工,，,戴,着,斗,m,q,b,n,x,v,uz,vn
1,18,个,女,工,，,戴,着,斗,笠,q,b,n,x,v,uz,vn,nr
0,19,女,工,，,戴,着,斗,笠,，,b,n,x,v,uz,vn,nr,x
1,20,工,，,戴,着,斗,笠,，,用,n,x,v,uz,vn,nr,x,p
0,21,，,戴,着,斗,笠,，,用,布,x,v,uz,vn,nr,x,p,nr
1,22,戴,着,斗,笠,，,用,布,包,v,uz,vn,nr,x,p,nr,v
1,23,着,斗,笠,，,用,布,包,着,uz,vn,nr,x,p,nr,v,uz
1,24,斗,笠,，,用,布,包,着,手,vn,nr,x,p,nr,v,uz,n
0,25,笠,，,用,布,包,着,手,脚,nr,x,p,nr,v,uz,n,n
1,26,，,用,布,包,着,手,脚,，,x,p,nr,v,uz,n,n,x
1,27,用,布,包,着,手,脚,，,站,p,nr,v,uz,n,n,x,v
0,28,布,包,着,手,脚,，,站,在,nr,v,uz,n,n,x,v,p
1,29,包,着,手,脚,，,站,在,烈,v,uz,n,n,x,v,p,a
1,30,着,手,脚,，,站,在,烈,日,uz,n,n,x,v,p,a,m
1,31,手,脚,，,站,在,烈,日,之,n,n,x,v,p,a,m,u
1,32,脚,，,站,在,烈,日,之,下,n,x,v,p,a,m,u,f
0,33,，,站,在,烈,日,之,下,，,x,v,p,a,m,u,f,x
1,34,站,在,烈,日,之,下,，,拿,v,p,a,m,u,f,x,v
0,35,在,烈,日,之,下,，,拿,着,p,a,m,u,f,x,v,uz
1,36,烈,日,之,下,，,拿,着,竹,a,m,u,f,x,v,uz,ng
1,37,日,之,下,，,拿,着,竹,耙,m,u,f,x,v,uz,ng,n
1,38,之,下,，,拿,着,竹,耙,，,u,f,x,v,uz,ng,n,x
1,39,下,，,拿,着,竹,耙,，,不,f,x,v,uz,ng,n,x,d
1,40,，,拿,着,竹,耙,，,不,住,x,v,uz,ng,n,x,d,v
1,41,拿,着,竹,耙,，,不,住,的,v,uz,ng,n,x,d,v,uj
1,42,着,竹,耙,，,不,住,的,翻,uz,ng,n,x,d,v,uj,v
1,43,竹,耙,，,不,住,的,翻,动,ng,n,x,d,v,uj,v,v
0,44,耙,，,不,住,的,翻,动,那,n,x,d,v,uj,v,v,r
1,45,，,不,住,的,翻,动,那,些,x,d,v,uj,v,v,r,q
0,46,不,住,的,翻,动,那,些,茶,d,v,uj,v,v,r,q,n
1,47,住,的,翻,动,那,些,茶,青,v,uj,v,v,r,q,n,ns
0,48,的,翻,动,那,些,茶,青,。,uj,v,v,r,q,n,ns,x
1,49,翻,动,那,些,茶,青,。,/s,v,v,r,q,n,ns,x,NAN
0,50,动,那,些,茶,青,。,/s,/s,v,r,q,n,ns,x,NAN,NAN
1,51,那,些,茶,青,。,/s,/s,/s,r,q,n,ns,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,看,到,了,柏,NAN,NAN,NAN,NAN,v,v,ul,nr
0,1,/s,/s,/s,看,到,了,柏,霈,NAN,NAN,NAN,v,v,ul,nr,g
1,2,/s,/s,看,到,了,柏,霈,文,NAN,NAN,v,v,ul,nr,g,n
1,3,/s,看,到,了,柏,霈,文,，,NAN,v,v,ul,nr,g,n,x
0,4,看,到,了,柏,霈,文,，,她,v,v,ul,nr,g,n,x,r
1,5,到,了,柏,霈,文,，,她,们,v,ul,nr,g,n,x,r,k
1,6,了,柏,霈,文,，,她,们,并,ul,nr,g,n,x,r,k,c
1,7,柏,霈,文,，,她,们,并,没,nr,g,n,x,r,k,c,v
0,8,霈,文,，,她,们,并,没,有,g,n,x,r,k,c,v,v
1,9,文,，,她,们,并,没,有,停,n,x,r,k,c,v,v,v
1,10,，,她,们,并,没,有,停,止,x,r,k,c,v,v,v,zg
0,11,她,们,并,没,有,停,止,工,r,k,c,v,v,v,zg,n
1,12,们,并,没,有,停,止,工,作,k,c,v,v,v,zg,n,v
0,13,并,没,有,停,止,工,作,，,c,v,v,v,zg,n,v,x
1,14,没,有,停,止,工,作,，,也,v,v,v,zg,n,v,x,d
0,15,有,停,止,工,作,，,也,没,v,v,zg,n,v,x,d,v
1,16,停,止,工,作,，,也,没,有,v,zg,n,v,x,d,v,v
1,17,止,工,作,，,也,没,有,加,zg,n,v,x,d,v,v,v
1,18,工,作,，,也,没,有,加,以,n,v,x,d,v,v,v,p
