Label,No,B3,B2,B1,F1,F2,F3,POSB3,POSB2,POSB1,POSF1,POSF2,POSF3
1,40,这,味,道,是,柏,霈,r,n,q,v,nr,g
1,41,味,道,是,柏,霈,文,n,q,v,nr,g,n
0,42,道,是,柏,霈,文,永,q,v,nr,g,n,ns
1,43,是,柏,霈,文,永,远,v,nr,g,n,ns,a
1,44,柏,霈,文,永,远,闻,nr,g,n,ns,a,v
0,45,霈,文,永,远,闻,不,g,n,ns,a,v,d
1,46,文,永,远,闻,不,厌,n,ns,a,v,d,v
1,47,永,远,闻,不,厌,的,ns,a,v,d,v,uj
1,48,远,闻,不,厌,的,。,a,v,d,v,uj,x
0,49,闻,不,厌,的,。,/s,v,d,v,uj,x,NAN
1,50,不,厌,的,。,/s,/s,d,v,uj,x,NAN,NAN
1,0,/s,/s,/s,深,呼,吸,NAN,NAN,NAN,a,zg,v
0,1,/s,/s,深,呼,吸,了,NAN,NAN,a,zg,v,ul
0,2,/s,深,呼,吸,了,一,NAN,a,zg,v,ul,m
1,3,深,呼,吸,了,一,下,a,zg,v,ul,m,f
1,4,呼,吸,了,一,下,，,zg,v,ul,m,f,x
0,5,吸,了,一,下,，,柏,v,ul,m,f,x,nr
1,6,了,一,下,，,柏,霈,ul,m,f,x,nr,g
1,7,一,下,，,柏,霈,文,m,f,x,nr,g,n
0,8,下,，,柏,霈,文,觉,f,x,nr,g,n,v
1,9,，,柏,霈,文,觉,得,x,nr,g,n,v,ud
1,10,柏,霈,文,觉,得,精,nr,g,n,v,ud,n
0,11,霈,文,觉,得,精,神,g,n,v,ud,n,n
1,12,文,觉,得,精,神,一,n,v,ud,n,n,m
0,13,觉,得,精,神,一,振,v,ud,n,n,m,v
1,14,得,精,神,一,振,，,ud,n,n,m,v,x
1,15,精,神,一,振,，,好,n,n,m,v,x,a
1,16,神,一,振,，,好,像,n,m,v,x,a,v
1,17,一,振,，,好,像,那,m,v,x,a,v,r
0,18,振,，,好,像,那,炙,v,x,a,v,r,zg
1,19,，,好,像,那,炙,人,x,a,v,r,zg,n
0,20,好,像,那,炙,人,的,a,v,r,zg,n,uj
0,21,像,那,炙,人,的,暑,v,r,zg,n,uj,t
0,22,那,炙,人,的,暑,气,r,zg,n,uj,t,n
1,23,炙,人,的,暑,气,都,zg,n,uj,t,n,d
0,24,人,的,暑,气,都,被,n,uj,t,n,d,p
1,25,的,暑,气,都,被,这,uj,t,n,d,p,r
1,26,暑,气,都,被,这,茶,t,n,d,p,r,n
1,27,气,都,被,这,茶,叶,n,d,p,r,n,nr
1,28,都,被,这,茶,叶,香,d,p,r,n,nr,ns
0,29,被,这,茶,叶,香,驱,p,r,n,nr,ns,v
1,30,这,茶,叶,香,驱,散,r,n,nr,ns,v,v
1,31,茶,叶,香,驱,散,了,n,nr,ns,v,v,ul
0,32,叶,香,驱,散,了,不,nr,ns,v,v,ul,d
1,33,香,驱,散,了,不,少,ns,v,v,ul,d,a
1,34,驱,散,了,不,少,。,v,v,ul,d,a,x
1,35,散,了,不,少,。,/s,v,ul,d,a,x,NAN
1,36,了,不,少,。,/s,/s,ul,d,a,x,NAN,NAN
1,0,/s,/s,/s,经,过,了,NAN,NAN,NAN,n,ug,ul
0,1,/s,/s,经,过,了,机,NAN,NAN,n,ug,ul,n
1,2,/s,经,过,了,机,器,NAN,n,ug,ul,n,n
1,3,经,过,了,机,器,房,n,ug,ul,n,n,n
0,4,过,了,机,器,房,，,ug,ul,n,n,n,x
1,5,了,机,器,房,，,那,ul,n,n,n,x,r
1,6,机,器,房,，,那,烤,n,n,n,x,r,v
1,7,器,房,，,那,烤,炉,n,n,x,r,v,zg
1,8,房,，,那,烤,炉,的,n,x,r,v,zg,uj
0,9,，,那,烤,炉,的,声,x,r,v,zg,uj,n
0,10,那,烤,炉,的,声,音,r,v,zg,uj,n,n
1,11,烤,炉,的,声,音,和,v,zg,uj,n,n,c
0,12,炉,的,声,音,和,搓,zg,uj,n,n,c,v
1,13,的,声,音,和,搓,茶,uj,n,n,c,v,n
1,14,声,音,和,搓,茶,机,n,n,c,v,n,n
1,15,音,和,搓,茶,机,的,n,c,v,n,n,uj
0,16,和,搓,茶,机,的,声,c,v,n,n,uj,n
0,17,搓,茶,机,的,声,音,v,n,n,uj,n,n
1,18,茶,机,的,声,音,轧,n,n,uj,n,n,v
0,19,机,的,声,音,轧,轧,n,uj,n,n,v,v
1,20,的,声,音,轧,轧,的,uj,n,n,v,v,uj
0,21,声,音,轧,轧,的,响,n,n,v,v,uj,zg
0,22,音,轧,轧,的,响,着,n,v,v,uj,zg,uz
1,23,轧,轧,的,响,着,，,v,v,uj,zg,uz,x
1,24,轧,的,响,着,，,好,v,uj,zg,uz,x,a
1,25,的,响,着,，,好,单,uj,zg,uz,x,a,n
1,26,响,着,，,好,单,调,zg,uz,x,a,n,v
1,27,着,，,好,单,调,，,uz,x,a,n,v,x
0,28,，,好,单,调,，,好,x,a,n,v,x,a
1,29,好,单,调,，,好,倦,a,n,v,x,a,zg
1,30,单,调,，,好,倦,怠,n,v,x,a,zg,ag
1,31,调,，,好,倦,怠,。,v,x,a,zg,ag,x
0,32,，,好,倦,怠,。,/s,x,a,zg,ag,x,NAN
1,33,好,倦,怠,。,/s,/s,a,zg,ag,x,NAN,NAN
1,0,/s,/s,/s,炉,边,的,NAN,NAN,NAN,zg,d,uj
0,1,/s,/s,炉,边,的,烤,NAN,NAN,zg,d,uj,v
0,2,/s,炉,边,的,烤,茶,NAN,zg,d,uj,v,n
1,3,炉,边,的,烤,茶,师,zg,d,uj,v,n,ng
1,4,边,的,烤,茶,师,傅,d,uj,v,n,ng,nr
1,5,的,烤,茶,师,傅,抬,uj,v,n,ng,nr,v
0,6,烤,茶,师,傅,抬,起,v,n,ng,nr,v,v
1,7,茶,师,傅,抬,起,头,n,ng,nr,v,v,n
0,8,师,傅,抬,起,头,来,ng,nr,v,v,n,v
0,9,傅,抬,起,头,来,，,nr,v,v,n,v,x
0,10,抬,起,头,来,，,对,v,v,n,v,x,p
1,11,起,头,来,，,对,柏,v,n,v,x,p,nr
1,12,头,来,，,对,柏,霈,n,v,x,p,nr,g
0,13,来,，,对,柏,霈,文,v,x,p,nr,g,n
0,14,，,对,柏,霈,文,点,x,p,nr,g,n,m
1,15,对,柏,霈,文,点,首,p,nr,g,n,m,m
0,16,柏,霈,文,点,首,为,nr,g,n,m,m,p
1,17,霈,文,点,首,为,礼,g,n,m,m,p,n
0,18,文,点,首,为,礼,。,n,m,m,p,n,x
1,19,点,首,为,礼,。,/s,m,m,p,n,x,NAN
1,20,首,为,礼,。,/s,/s,m,p,n,x,NAN,NAN
1,0,/s,/s,/s,火,在,机,NAN,NAN,NAN,n,p,n
0,1,/s,/s,火,在,机,器,NAN,NAN,n,p,n,n
1,2,/s,火,在,机,器,下,NAN,n,p,n,n,f
0,3,火,在,机,器,下,燃,n,p,n,n,f,n
1,4,在,机,器,下,燃,着,p,n,n,f,n,uz
0,5,机,器,下,燃,着,，,n,n,f,n,uz,x
1,6,器,下,燃,着,，,整,n,f,n,uz,x,v
1,7,下,燃,着,，,整,个,f,n,uz,x,v,q
1,8,燃,着,，,整,个,机,n,uz,x,v,q,n
0,9,着,，,整,个,机,器,uz,x,v,q,n,n
1,10,，,整,个,机,器,房,x,v,q,n,n,n
0,11,整,个,机,器,房,都,v,q,n,n,n,d
1,12,个,机,器,房,都,变,q,n,n,n,d,v
1,13,机,器,房,都,变,成,n,n,n,d,v,n
1,14,器,房,都,变,成,了,n,n,d,v,n,ul
0,15,房,都,变,成,了,烤,n,d,v,n,ul,v
1,16,都,变,成,了,烤,箱,d,v,n,ul,v,q
1,17,变,成,了,烤,箱,，,v,n,ul,v,q,x
0,18,成,了,烤,箱,，,那,n,ul,v,q,x,r
1,19,了,烤,箱,，,那,些,ul,v,q,x,r,q
1,20,烤,箱,，,那,些,师,v,q,x,r,q,ng
0,21,箱,，,那,些,师,傅,q,x,r,q,ng,nr
1,22,，,那,些,师,傅,和,x,r,q,ng,nr,c
0,23,那,些,师,傅,和,女,r,q,ng,nr,c,b
1,24,些,师,傅,和,女,工,q,ng,nr,c,b,n
1,25,师,傅,和,女,工,都,ng,nr,c,b,n,d
0,26,傅,和,女,工,都,汗,nr,c,b,n,d,zg
1,27,和,女,工,都,汗,流,c,b,n,d,zg,n
1,28,女,工,都,汗,流,不,b,n,d,zg,n,d
0,29,工,都,汗,流,不,已,n,d,zg,n,d,d
1,30,都,汗,流,不,已,。,d,zg,n,d,d,x
1,31,汗,流,不,已,。,/s,zg,n,d,d,x,NAN
1,32,流,不,已,。,/s,/s,n,d,d,x,NAN,NAN
1,0,/s,/s,/s,柏,霈,文,NAN,NAN,NAN,nr,g,n
0,1,/s,/s,柏,霈,文,在,NAN,NAN,nr,g,n,p
1,2,/s,柏,霈,文,在,机,NAN,nr,g,n,p,n
0,3,柏,霈,文,在,机,器,nr,g,n,p,n,n
1,4,霈,文,在,机,器,房,g,n,p,n,n,n
0,5,文,在,机,器,房,门,n,p,n,n,n,n
1,6,在,机,器,房,门,口,p,n,n,n,n,q
0,7,机,器,房,门,口,站,n,n,n,n,q,v
0,8,器,房,门,口,站,了,n,n,n,q,v,ul
1,9,房,门,口,站,了,片,n,n,q,v,ul,q
1,10,门,口,站,了,片,刻,n,q,v,ul,q,v
1,11,口,站,了,片,刻,，,q,v,ul,q,v,x
0,12,站,了,片,刻,，,再,v,ul,q,v,x,d
1,13,了,片,刻,，,再,继,ul,q,v,x,d,v
1,14,片,刻,，,再,继,续,q,v,x,d,v,v
1,15,刻,，,再,继,续,往,v,x,d,v,v,zg
0,16,，,再,继,续,往,前,x,d,v,v,zg,f
1,17,再,继,续,往,前,走,d,v,v,zg,f,v
0,18,继,续,往,前,走,。,v,v,zg,f,v,x
0,19,续,往,前,走,。,/s,v,zg,f,v,x,NAN
1,20,往,前,走,。,/s,/s,zg,f,v,x,NAN,NAN
1,0,/s,/s,/s,晒,茶,场,NAN,NAN,NAN,v,n,q
1,1,/s,/s,晒,茶,场,上,NAN,NAN,v,n,q,f
1,2,/s,晒,茶,场,上,正,NAN,v,n,q,f,d
0,3,晒,茶,场,上,正,在,v,n,q,f,d,p
1,4,茶,场,上,正,在,晒,n,q,f,d,p,v
0,5,场,上,正,在,晒,着,q,f,d,p,v,uz
1,6,上,正,在,晒,着,茶,f,d,p,v,uz,n
1,7,正,在,晒,着,茶,青,d,p,v,uz,n,ns
1,8,在,晒,着,茶,青,，,p,v,uz,n,ns,x
0,9,晒,着,茶,青,，,有,v,uz,n,ns,x,v
1,10,着,茶,青,，,有,三,uz,n,ns,x,v,m
1,11,茶,青,，,有,三,四,n,ns,x,v,m,m
1,12,青,，,有,三,四,个,ns,x,v,m,m,q
0,13,，,有,三,四,个,女,x,v,m,m,q,b
0,14,有,三,四,个,女,工,v,m,m,q,b,n
1,15,三,四,个,女,工,，,m,m,q,b,n,x
0,16,四,个,女,工,，,戴,m,q,b,n,x,v
1,17,个,女,工,，,戴,着,q,b,n,x,v,uz
1,18,女,工,，,戴,着,斗,b,n,x,v,uz,vn
0,19,工,，,戴,着,斗,笠,n,x,v,uz,vn,nr
1,20,，,戴,着,斗,笠,，,x,v,uz,vn,nr,x
0,21,戴,着,斗,笠,，,用,v,uz,vn,nr,x,p
1,22,着,斗,笠,，,用,布,uz,vn,nr,x,p,nr
1,23,斗,笠,，,用,布,包,vn,nr,x,p,nr,v
1,24,笠,，,用,布,包,着,nr,x,p,nr,v,uz
0,25,，,用,布,包,着,手,x,p,nr,v,uz,n
1,26,用,布,包,着,手,脚,p,nr,v,uz,n,n
1,27,布,包,着,手,脚,，,nr,v,uz,n,n,x
0,28,包,着,手,脚,，,站,v,uz,n,n,x,v
1,29,着,手,脚,，,站,在,uz,n,n,x,v,p
1,30,手,脚,，,站,在,烈,n,n,x,v,p,a
1,31,脚,，,站,在,烈,日,n,x,v,p,a,m
1,32,，,站,在,烈,日,之,x,v,p,a,m,u
0,33,站,在,烈,日,之,下,v,p,a,m,u,f
1,34,在,烈,日,之,下,，,p,a,m,u,f,x
0,35,烈,日,之,下,，,拿,a,m,u,f,x,v
1,36,日,之,下,，,拿,着,m,u,f,x,v,uz
1,37,之,下,，,拿,着,竹,u,f,x,v,uz,ng
1,38,下,，,拿,着,竹,耙,f,x,v,uz,ng,n
1,39,，,拿,着,竹,耙,，,x,v,uz,ng,n,x
1,40,拿,着,竹,耙,，,不,v,uz,ng,n,x,d
1,41,着,竹,耙,，,不,住,uz,ng,n,x,d,v
1,42,竹,耙,，,不,住,的,ng,n,x,d,v,uj
1,43,耙,，,不,住,的,翻,n,x,d,v,uj,v
0,44,，,不,住,的,翻,动,x,d,v,uj,v,v
1,45,不,住,的,翻,动,那,d,v,uj,v,v,r
0,46,住,的,翻,动,那,些,v,uj,v,v,r,q
1,47,的,翻,动,那,些,茶,uj,v,v,r,q,n
0,48,翻,动,那,些,茶,青,v,v,r,q,n,ns
1,49,动,那,些,茶,青,。,v,r,q,n,ns,x
0,50,那,些,茶,青,。,/s,r,q,n,ns,x,NAN
1,51,些,茶,青,。,/s,/s,q,n,ns,x,NAN,NAN
1,0,/s,/s,/s,看,到,了,NAN,NAN,NAN,v,v,ul
0,1,/s,/s,看,到,了,柏,NAN,NAN,v,v,ul,nr
1,2,/s,看,到,了,柏,霈,NAN,v,v,ul,nr,g
1,3,看,到,了,柏,霈,文,v,v,ul,nr,g,n
0,4,到,了,柏,霈,文,，,v,ul,nr,g,n,x
1,5,了,柏,霈,文,，,她,ul,nr,g,n,x,r
1,6,柏,霈,文,，,她,们,nr,g,n,x,r,k
1,7,霈,文,，,她,们,并,g,n,x,r,k,c
0,8,文,，,她,们,并,没,n,x,r,k,c,v
1,9,，,她,们,并,没,有,x,r,k,c,v,v
1,10,她,们,并,没,有,停,r,k,c,v,v,v
1,11,们,并,没,有,停,止,k,c,v,v,v,zg
1,12,并,没,有,停,止,工,c,v,v,v,zg,n
0,13,没,有,停,止,工,作,v,v,v,zg,n,v
1,14,有,停,止,工,作,，,v,v,zg,n,v,x
0,15,停,止,工,作,，,也,v,zg,n,v,x,d
1,16,止,工,作,，,也,没,zg,n,v,x,d,v
1,17,工,作,，,也,没,有,n,v,x,d,v,v
1,18,作,，,也,没,有,加,v,x,d,v,v,v
1,19,，,也,没,有,加,以,x,d,v,v,v,p
1,20,也,没,有,加,以,注,d,v,v,v,p,v
0,21,没,有,加,以,注,视,v,v,v,p,v,vg
1,22,有,加,以,注,视,，,v,v,p,v,vg,x
0,23,加,以,注,视,，,老,v,p,v,vg,x,a
1,24,以,注,视,，,老,板,p,v,vg,x,a,ng
1,25,注,视,，,老,板,跟,v,vg,x,a,ng,p
0,26,视,，,老,板,跟,她,vg,x,a,ng,p,r
1,27,，,老,板,跟,她,们,x,a,ng,p,r,k
1,28,老,板,跟,她,们,的,a,ng,p,r,k,uj
0,29,板,跟,她,们,的,距,ng,p,r,k,uj,n
0,30,跟,她,们,的,距,离,p,r,k,uj,n,v
1,31,她,们,的,距,离,很,r,k,uj,n,v,zg
0,32,们,的,距,离,很,远,k,uj,n,v,zg,a
1,33,的,距,离,很,远,，,uj,n,v,zg,a,x
1,34,距,离,很,远,，,她,n,v,zg,a,x,r
1,35,离,很,远,，,她,们,v,zg,a,x,r,k
1,36,很,远,，,她,们,是,zg,a,x,r,k,v
0,37,远,，,她,们,是,由,a,x,r,k,v,p
1,38,，,她,们,是,由,领,x,r,k,v,p,v
1,39,她,们,是,由,领,班,r,k,v,p,v,n
1,40,们,是,由,领,班,管,k,v,p,v,n,vn
0,41,是,由,领,班,管,理,v,p,v,n,vn,n
1,42,由,领,班,管,理,的,p,v,n,vn,n,uj
0,43,领,班,管,理,的,。,v,n,vn,n,uj,x
0,44,班,管,理,的,。,/s,n,vn,n,uj,x,NAN
1,45,管,理,的,。,/s,/s,vn,n,uj,x,NAN,NAN
1,0,/s,/s,/s,穿,过,了,NAN,NAN,NAN,zg,ug,ul
0,1,/s,/s,穿,过,了,晒,NAN,NAN,zg,ug,ul,v
1,2,/s,穿,过,了,晒,茶,NAN,zg,ug,ul,v,n
1,3,穿,过,了,晒,茶,场,zg,ug,ul,v,n,q
1,4,过,了,晒,茶,场,，,ug,ul,v,n,q,x
0,5,了,晒,茶,场,，,柏,ul,v,n,q,x,nr
1,6,晒,茶,场,，,柏,霈,v,n,q,x,nr,g
1,7,茶,场,，,柏,霈,文,n,q,x,nr,g,n
0,8,场,，,柏,霈,文,走,q,x,nr,g,n,v
1,9,，,柏,霈,文,走,进,x,nr,g,n,v,v
1,10,柏,霈,文,走,进,了,nr,g,n,v,v,ul
0,11,霈,文,走,进,了,自,g,n,v,v,ul,p
1,12,文,走,进,了,自,己,n,v,v,ul,p,r
1,13,走,进,了,自,己,的,v,v,ul,p,r,uj
0,14,进,了,自,己,的,办,v,ul,p,r,uj,v
0,15,了,自,己,的,办,公,ul,p,r,uj,v,n
1,16,自,己,的,办,公,室,p,r,uj,v,n,n
0,17,己,的,办,公,室,，,r,uj,v,n,n,x
0,18,的,办,公,室,，,这,uj,v,n,n,x,r
1,19,办,公,室,，,这,是,v,n,n,x,r,v
1,20,公,室,，,这,是,整,n,n,x,r,v,v
0,21,室,，,这,是,整,个,n,x,r,v,v,q
1,22,，,这,是,整,个,工,x,r,v,v,q,n
0,23,这,是,整,个,工,厂,r,v,v,q,n,zg
1,24,是,整,个,工,厂,中,v,v,q,n,zg,f
0,25,整,个,工,厂,中,，,v,q,n,zg,f,x
1,26,个,工,厂,中,，,除,q,n,zg,f,x,p
1,27,工,厂,中,，,除,去,n,zg,f,x,p,v
1,28,厂,中,，,除,去,了,zg,f,x,p,v,ul
0,29,中,，,除,去,了,冷,f,x,p,v,ul,a
1,30,，,除,去,了,冷,藏,x,p,v,ul,a,j
1,31,除,去,了,冷,藏,库,p,v,ul,a,j,n
0,32,去,了,冷,藏,库,，,v,ul,a,j,n,x
0,33,了,冷,藏,库,，,唯,ul,a,j,n,x,b
1,34,冷,藏,库,，,唯,一,a,j,n,x,b,m
1,35,藏,库,，,唯,一,有,j,n,x,b,m,v
0,36,库,，,唯,一,有,冷,n,x,b,m,v,a
1,37,，,唯,一,有,冷,气,x,b,m,v,a,n
1,38,唯,一,有,冷,气,的,b,m,v,a,n,uj
0,39,一,有,冷,气,的,房,m,v,a,n,uj,n
0,40,有,冷,气,的,房,间,v,a,n,uj,n,f
1,41,冷,气,的,房,间,。,a,n,uj,n,f,x
0,42,气,的,房,间,。,/s,n,uj,n,f,x,NAN
1,43,的,房,间,。,/s,/s,uj,n,f,x,NAN,NAN
1,0,/s,/s,/s,柏,霈,文,NAN,NAN,NAN,nr,g,n
0,1,/s,/s,柏,霈,文,每,NAN,NAN,nr,g,n,zg
1,2,/s,柏,霈,文,每,天,NAN,nr,g,n,zg,q
1,3,柏,霈,文,每,天,都,nr,g,n,zg,q,d
0,4,霈,文,每,天,都,要,g,n,zg,q,d,v
1,5,文,每,天,都,要,办,n,zg,q,d,v,v
1,6,每,天,都,要,办,六,zg,q,d,v,v,m
1,7,天,都,要,办,六,七,q,d,v,v,m,m
1,8,都,要,办,六,七,小,d,v,v,m,m,a
0,9,要,办,六,七,小,时,v,v,m,m,a,n
1,10,办,六,七,小,时,的,v,m,m,a,n,uj
0,11,六,七,小,时,的,公,m,m,a,n,uj,n
0,12,七,小,时,的,公,。,m,a,n,uj,n,x
1,13,小,时,的,公,。,/s,a,n,uj,n,x,NAN
1,14,时,的,公,。,/s,/s,n,uj,n,x,NAN,NAN
1,0,/s,/s,/s,柏,霈,文,NAN,NAN,NAN,nr,g,n
0,1,/s,/s,柏,霈,文,不,NAN,NAN,nr,g,n,d
1,2,/s,柏,霈,文,不,在,NAN,nr,g,n,d,p
0,3,柏,霈,文,不,在,的,nr,g,n,d,p,uj
1,4,霈,文,不,在,的,时,g,n,d,p,uj,n
0,5,文,不,在,的,时,候,n,d,p,uj,n,v
1,6,不,在,的,时,候,，,d,p,uj,n,v,x
0,7,在,的,时,候,，,这,p,uj,n,v,x,r
1,8,的,时,候,，,这,房,uj,n,v,x,r,n
1,9,时,候,，,这,房,间,n,v,x,r,n,f
1,10,候,，,这,房,间,就,v,x,r,n,f,d
0,11,，,这,房,间,就,是,x,r,n,f,d,v
1,12,这,房,间,就,是,会,r,n,f,d,v,v
0,13,房,间,就,是,会,客,n,f,d,v,v,n
1,14,间,就,是,会,客,室,f,d,v,v,n,n
0,15,就,是,会,客,室,。,d,v,v,n,n,x
0,16,是,会,客,室,。,/s,v,v,n,n,x,NAN
1,17,会,客,室,。,/s,/s,v,n,n,x,NAN,NAN
1,0,/s,/s,/s,工,厂,中,NAN,NAN,NAN,n,zg,f
