Label,No,B2,B1,F1,F2,POSB2,POSB1,POSF1,POSF2
1,33,净,，,又,清,a,x,d,t
1,34,，,又,清,新,x,d,t,a
0,35,又,清,新,，,d,t,a,x
1,36,清,新,，,这,t,a,x,r
1,37,新,，,这,味,a,x,r,n
1,38,，,这,味,道,x,r,n,q
0,39,这,味,道,是,r,n,q,v
1,40,味,道,是,柏,n,q,v,nr
1,41,道,是,柏,霈,q,v,nr,g
0,42,是,柏,霈,文,v,nr,g,n
1,43,柏,霈,文,永,nr,g,n,ns
1,44,霈,文,永,远,g,n,ns,a
0,45,文,永,远,闻,n,ns,a,v
1,46,永,远,闻,不,ns,a,v,d
1,47,远,闻,不,厌,a,v,d,v
1,48,闻,不,厌,的,v,d,v,uj
0,49,不,厌,的,。,d,v,uj,x
1,50,厌,的,。,/s,v,uj,x,NAN
1,0,/s,/s,深,呼,NAN,NAN,a,zg
0,1,/s,深,呼,吸,NAN,a,zg,v
0,2,深,呼,吸,了,a,zg,v,ul
1,3,呼,吸,了,一,zg,v,ul,m
1,4,吸,了,一,下,v,ul,m,f
0,5,了,一,下,，,ul,m,f,x
1,6,一,下,，,柏,m,f,x,nr
1,7,下,，,柏,霈,f,x,nr,g
0,8,，,柏,霈,文,x,nr,g,n
1,9,柏,霈,文,觉,nr,g,n,v
1,10,霈,文,觉,得,g,n,v,ud
0,11,文,觉,得,精,n,v,ud,n
1,12,觉,得,精,神,v,ud,n,n
0,13,得,精,神,一,ud,n,n,m
1,14,精,神,一,振,n,n,m,v
1,15,神,一,振,，,n,m,v,x
1,16,一,振,，,好,m,v,x,a
1,17,振,，,好,像,v,x,a,v
0,18,，,好,像,那,x,a,v,r
1,19,好,像,那,炙,a,v,r,zg
0,20,像,那,炙,人,v,r,zg,n
0,21,那,炙,人,的,r,zg,n,uj
0,22,炙,人,的,暑,zg,n,uj,t
1,23,人,的,暑,气,n,uj,t,n
0,24,的,暑,气,都,uj,t,n,d
1,25,暑,气,都,被,t,n,d,p
1,26,气,都,被,这,n,d,p,r
1,27,都,被,这,茶,d,p,r,n
1,28,被,这,茶,叶,p,r,n,nr
0,29,这,茶,叶,香,r,n,nr,ns
1,30,茶,叶,香,驱,n,nr,ns,v
1,31,叶,香,驱,散,nr,ns,v,v
0,32,香,驱,散,了,ns,v,v,ul
1,33,驱,散,了,不,v,v,ul,d
1,34,散,了,不,少,v,ul,d,a
1,35,了,不,少,。,ul,d,a,x
1,36,不,少,。,/s,d,a,x,NAN
1,0,/s,/s,经,过,NAN,NAN,n,ug
0,1,/s,经,过,了,NAN,n,ug,ul
1,2,经,过,了,机,n,ug,ul,n
1,3,过,了,机,器,ug,ul,n,n
0,4,了,机,器,房,ul,n,n,n
1,5,机,器,房,，,n,n,n,x
1,6,器,房,，,那,n,n,x,r
1,7,房,，,那,烤,n,x,r,v
1,8,，,那,烤,炉,x,r,v,zg
0,9,那,烤,炉,的,r,v,zg,uj
0,10,烤,炉,的,声,v,zg,uj,n
1,11,炉,的,声,音,zg,uj,n,n
0,12,的,声,音,和,uj,n,n,c
1,13,声,音,和,搓,n,n,c,v
1,14,音,和,搓,茶,n,c,v,n
1,15,和,搓,茶,机,c,v,n,n
0,16,搓,茶,机,的,v,n,n,uj
0,17,茶,机,的,声,n,n,uj,n
1,18,机,的,声,音,n,uj,n,n
0,19,的,声,音,轧,uj,n,n,v
1,20,声,音,轧,轧,n,n,v,v
0,21,音,轧,轧,的,n,v,v,uj
0,22,轧,轧,的,响,v,v,uj,zg
1,23,轧,的,响,着,v,uj,zg,uz
1,24,的,响,着,，,uj,zg,uz,x
1,25,响,着,，,好,zg,uz,x,a
1,26,着,，,好,单,uz,x,a,n
1,27,，,好,单,调,x,a,n,v
0,28,好,单,调,，,a,n,v,x
1,29,单,调,，,好,n,v,x,a
1,30,调,，,好,倦,v,x,a,zg
1,31,，,好,倦,怠,x,a,zg,ag
0,32,好,倦,怠,。,a,zg,ag,x
1,33,倦,怠,。,/s,zg,ag,x,NAN
1,0,/s,/s,炉,边,NAN,NAN,zg,d
0,1,/s,炉,边,的,NAN,zg,d,uj
0,2,炉,边,的,烤,zg,d,uj,v
1,3,边,的,烤,茶,d,uj,v,n
1,4,的,烤,茶,师,uj,v,n,ng
1,5,烤,茶,师,傅,v,n,ng,nr
0,6,茶,师,傅,抬,n,ng,nr,v
1,7,师,傅,抬,起,ng,nr,v,v
0,8,傅,抬,起,头,nr,v,v,n
0,9,抬,起,头,来,v,v,n,v
0,10,起,头,来,，,v,n,v,x
1,11,头,来,，,对,n,v,x,p
1,12,来,，,对,柏,v,x,p,nr
0,13,，,对,柏,霈,x,p,nr,g
0,14,对,柏,霈,文,p,nr,g,n
1,15,柏,霈,文,点,nr,g,n,m
0,16,霈,文,点,首,g,n,m,m
1,17,文,点,首,为,n,m,m,p
0,18,点,首,为,礼,m,m,p,n
1,19,首,为,礼,。,m,p,n,x
1,20,为,礼,。,/s,p,n,x,NAN
1,0,/s,/s,火,在,NAN,NAN,n,p
0,1,/s,火,在,机,NAN,n,p,n
1,2,火,在,机,器,n,p,n,n
0,3,在,机,器,下,p,n,n,f
1,4,机,器,下,燃,n,n,f,n
0,5,器,下,燃,着,n,f,n,uz
1,6,下,燃,着,，,f,n,uz,x
1,7,燃,着,，,整,n,uz,x,v
1,8,着,，,整,个,uz,x,v,q
0,9,，,整,个,机,x,v,q,n
1,10,整,个,机,器,v,q,n,n
0,11,个,机,器,房,q,n,n,n
1,12,机,器,房,都,n,n,n,d
1,13,器,房,都,变,n,n,d,v
1,14,房,都,变,成,n,d,v,n
0,15,都,变,成,了,d,v,n,ul
1,16,变,成,了,烤,v,n,ul,v
1,17,成,了,烤,箱,n,ul,v,q
0,18,了,烤,箱,，,ul,v,q,x
1,19,烤,箱,，,那,v,q,x,r
1,20,箱,，,那,些,q,x,r,q
0,21,，,那,些,师,x,r,q,ng
1,22,那,些,师,傅,r,q,ng,nr
0,23,些,师,傅,和,q,ng,nr,c
1,24,师,傅,和,女,ng,nr,c,b
1,25,傅,和,女,工,nr,c,b,n
0,26,和,女,工,都,c,b,n,d
1,27,女,工,都,汗,b,n,d,zg
1,28,工,都,汗,流,n,d,zg,n
0,29,都,汗,流,不,d,zg,n,d
1,30,汗,流,不,已,zg,n,d,d
1,31,流,不,已,。,n,d,d,x
1,32,不,已,。,/s,d,d,x,NAN
1,0,/s,/s,柏,霈,NAN,NAN,nr,g
0,1,/s,柏,霈,文,NAN,nr,g,n
1,2,柏,霈,文,在,nr,g,n,p
0,3,霈,文,在,机,g,n,p,n
1,4,文,在,机,器,n,p,n,n
0,5,在,机,器,房,p,n,n,n
1,6,机,器,房,门,n,n,n,n
0,7,器,房,门,口,n,n,n,q
0,8,房,门,口,站,n,n,q,v
1,9,门,口,站,了,n,q,v,ul
1,10,口,站,了,片,q,v,ul,q
1,11,站,了,片,刻,v,ul,q,v
0,12,了,片,刻,，,ul,q,v,x
1,13,片,刻,，,再,q,v,x,d
1,14,刻,，,再,继,v,x,d,v
1,15,，,再,继,续,x,d,v,v
0,16,再,继,续,往,d,v,v,zg
1,17,继,续,往,前,v,v,zg,f
0,18,续,往,前,走,v,zg,f,v
0,19,往,前,走,。,zg,f,v,x
1,20,前,走,。,/s,f,v,x,NAN
1,0,/s,/s,晒,茶,NAN,NAN,v,n
1,1,/s,晒,茶,场,NAN,v,n,q
1,2,晒,茶,场,上,v,n,q,f
0,3,茶,场,上,正,n,q,f,d
1,4,场,上,正,在,q,f,d,p
0,5,上,正,在,晒,f,d,p,v
1,6,正,在,晒,着,d,p,v,uz
1,7,在,晒,着,茶,p,v,uz,n
1,8,晒,着,茶,青,v,uz,n,ns
0,9,着,茶,青,，,uz,n,ns,x
1,10,茶,青,，,有,n,ns,x,v
1,11,青,，,有,三,ns,x,v,m
1,12,，,有,三,四,x,v,m,m
0,13,有,三,四,个,v,m,m,q
0,14,三,四,个,女,m,m,q,b
1,15,四,个,女,工,m,q,b,n
0,16,个,女,工,，,q,b,n,x
1,17,女,工,，,戴,b,n,x,v
1,18,工,，,戴,着,n,x,v,uz
0,19,，,戴,着,斗,x,v,uz,vn
1,20,戴,着,斗,笠,v,uz,vn,nr
0,21,着,斗,笠,，,uz,vn,nr,x
1,22,斗,笠,，,用,vn,nr,x,p
1,23,笠,，,用,布,nr,x,p,nr
1,24,，,用,布,包,x,p,nr,v
0,25,用,布,包,着,p,nr,v,uz
1,26,布,包,着,手,nr,v,uz,n
1,27,包,着,手,脚,v,uz,n,n
0,28,着,手,脚,，,uz,n,n,x
1,29,手,脚,，,站,n,n,x,v
1,30,脚,，,站,在,n,x,v,p
1,31,，,站,在,烈,x,v,p,a
1,32,站,在,烈,日,v,p,a,m
0,33,在,烈,日,之,p,a,m,u
1,34,烈,日,之,下,a,m,u,f
0,35,日,之,下,，,m,u,f,x
1,36,之,下,，,拿,u,f,x,v
1,37,下,，,拿,着,f,x,v,uz
1,38,，,拿,着,竹,x,v,uz,ng
1,39,拿,着,竹,耙,v,uz,ng,n
1,40,着,竹,耙,，,uz,ng,n,x
1,41,竹,耙,，,不,ng,n,x,d
1,42,耙,，,不,住,n,x,d,v
1,43,，,不,住,的,x,d,v,uj
0,44,不,住,的,翻,d,v,uj,v
1,45,住,的,翻,动,v,uj,v,v
0,46,的,翻,动,那,uj,v,v,r
1,47,翻,动,那,些,v,v,r,q
0,48,动,那,些,茶,v,r,q,n
1,49,那,些,茶,青,r,q,n,ns
0,50,些,茶,青,。,q,n,ns,x
1,51,茶,青,。,/s,n,ns,x,NAN
1,0,/s,/s,看,到,NAN,NAN,v,v
0,1,/s,看,到,了,NAN,v,v,ul
1,2,看,到,了,柏,v,v,ul,nr
1,3,到,了,柏,霈,v,ul,nr,g
0,4,了,柏,霈,文,ul,nr,g,n
1,5,柏,霈,文,，,nr,g,n,x
1,6,霈,文,，,她,g,n,x,r
1,7,文,，,她,们,n,x,r,k
0,8,，,她,们,并,x,r,k,c
1,9,她,们,并,没,r,k,c,v
1,10,们,并,没,有,k,c,v,v
1,11,并,没,有,停,c,v,v,v
1,12,没,有,停,止,v,v,v,zg
0,13,有,停,止,工,v,v,zg,n
1,14,停,止,工,作,v,zg,n,v
0,15,止,工,作,，,zg,n,v,x
1,16,工,作,，,也,n,v,x,d
1,17,作,，,也,没,v,x,d,v
1,18,，,也,没,有,x,d,v,v
1,19,也,没,有,加,d,v,v,v
1,20,没,有,加,以,v,v,v,p
0,21,有,加,以,注,v,v,p,v
1,22,加,以,注,视,v,p,v,vg
0,23,以,注,视,，,p,v,vg,x
1,24,注,视,，,老,v,vg,x,a
1,25,视,，,老,板,vg,x,a,ng
0,26,，,老,板,跟,x,a,ng,p
1,27,老,板,跟,她,a,ng,p,r
1,28,板,跟,她,们,ng,p,r,k
0,29,跟,她,们,的,p,r,k,uj
0,30,她,们,的,距,r,k,uj,n
1,31,们,的,距,离,k,uj,n,v
0,32,的,距,离,很,uj,n,v,zg
1,33,距,离,很,远,n,v,zg,a
1,34,离,很,远,，,v,zg,a,x
1,35,很,远,，,她,zg,a,x,r
1,36,远,，,她,们,a,x,r,k
0,37,，,她,们,是,x,r,k,v
1,38,她,们,是,由,r,k,v,p
1,39,们,是,由,领,k,v,p,v
1,40,是,由,领,班,v,p,v,n
0,41,由,领,班,管,p,v,n,vn
1,42,领,班,管,理,v,n,vn,n
0,43,班,管,理,的,n,vn,n,uj
0,44,管,理,的,。,vn,n,uj,x
1,45,理,的,。,/s,n,uj,x,NAN
1,0,/s,/s,穿,过,NAN,NAN,zg,ug
0,1,/s,穿,过,了,NAN,zg,ug,ul
1,2,穿,过,了,晒,zg,ug,ul,v
1,3,过,了,晒,茶,ug,ul,v,n
1,4,了,晒,茶,场,ul,v,n,q
0,5,晒,茶,场,，,v,n,q,x
1,6,茶,场,，,柏,n,q,x,nr
1,7,场,，,柏,霈,q,x,nr,g
0,8,，,柏,霈,文,x,nr,g,n
1,9,柏,霈,文,走,nr,g,n,v
1,10,霈,文,走,进,g,n,v,v
0,11,文,走,进,了,n,v,v,ul
1,12,走,进,了,自,v,v,ul,p
1,13,进,了,自,己,v,ul,p,r
0,14,了,自,己,的,ul,p,r,uj
0,15,自,己,的,办,p,r,uj,v
1,16,己,的,办,公,r,uj,v,n
0,17,的,办,公,室,uj,v,n,n
0,18,办,公,室,，,v,n,n,x
1,19,公,室,，,这,n,n,x,r
1,20,室,，,这,是,n,x,r,v
0,21,，,这,是,整,x,r,v,v
1,22,这,是,整,个,r,v,v,q
0,23,是,整,个,工,v,v,q,n
1,24,整,个,工,厂,v,q,n,zg
0,25,个,工,厂,中,q,n,zg,f
1,26,工,厂,中,，,n,zg,f,x
1,27,厂,中,，,除,zg,f,x,p
1,28,中,，,除,去,f,x,p,v
0,29,，,除,去,了,x,p,v,ul
1,30,除,去,了,冷,p,v,ul,a
1,31,去,了,冷,藏,v,ul,a,j
0,32,了,冷,藏,库,ul,a,j,n
0,33,冷,藏,库,，,a,j,n,x
1,34,藏,库,，,唯,j,n,x,b
1,35,库,，,唯,一,n,x,b,m
0,36,，,唯,一,有,x,b,m,v
1,37,唯,一,有,冷,b,m,v,a
1,38,一,有,冷,气,m,v,a,n
0,39,有,冷,气,的,v,a,n,uj
0,40,冷,气,的,房,a,n,uj,n
1,41,气,的,房,间,n,uj,n,f
0,42,的,房,间,。,uj,n,f,x
1,43,房,间,。,/s,n,f,x,NAN
1,0,/s,/s,柏,霈,NAN,NAN,nr,g
0,1,/s,柏,霈,文,NAN,nr,g,n
1,2,柏,霈,文,每,nr,g,n,zg
1,3,霈,文,每,天,g,n,zg,q
0,4,文,每,天,都,n,zg,q,d
1,5,每,天,都,要,zg,q,d,v
1,6,天,都,要,办,q,d,v,v
1,7,都,要,办,六,d,v,v,m
1,8,要,办,六,七,v,v,m,m
0,9,办,六,七,小,v,m,m,a
1,10,六,七,小,时,m,m,a,n
0,11,七,小,时,的,m,a,n,uj
0,12,小,时,的,公,a,n,uj,n
1,13,时,的,公,。,n,uj,n,x
1,14,的,公,。,/s,uj,n,x,NAN
1,0,/s,/s,柏,霈,NAN,NAN,nr,g
0,1,/s,柏,霈,文,NAN,nr,g,n
1,2,柏,霈,文,不,nr,g,n,d
0,3,霈,文,不,在,g,n,d,p
1,4,文,不,在,的,n,d,p,uj
0,5,不,在,的,时,d,p,uj,n
1,6,在,的,时,候,p,uj,n,v
0,7,的,时,候,，,uj,n,v,x
1,8,时,候,，,这,n,v,x,r
1,9,候,，,这,房,v,x,r,n
1,10,，,这,房,间,x,r,n,f
0,11,这,房,间,就,r,n,f,d
1,12,房,间,就,是,n,f,d,v
0,13,间,就,是,会,f,d,v,v
1,14,就,是,会,客,d,v,v,n
0,15,是,会,客,室,v,v,n,n
0,16,会,客,室,。,v,n,n,x
1,17,客,室,。,/s,n,n,x,NAN
1,0,/s,/s,工,厂,NAN,NAN,n,zg
0,1,/s,工,厂,中,NAN,n,zg,f
1,2,工,厂,中,其,n,zg,f,r
1,3,厂,中,其,他,zg,f,r,r
0,4,中,其,他,高,f,r,r,a
1,5,其,他,高,级,r,r,a,q
0,6,他,高,级,职,r,a,q,ng
1,7,高,级,职,员,a,q,ng,zg
0,8,级,职,员,，,q,ng,zg,x
1,9,职,员,，,像,ng,zg,x,v
1,10,员,，,像,赵,zg,x,v,nr
1,11,，,像,赵,经,x,v,nr,n
1,12,像,赵,经,理,v,nr,n,n
0,13,赵,经,理,、,nr,n,n,x
1,14,经,理,、,张,n,n,x,q
1,15,理,、,张,会,n,x,q,v
1,16,、,张,会,计,x,q,v,n
0,17,张,会,计,等,q,v,n,u
1,18,会,计,等,的,v,n,u,uj
0,19,计,等,的,办,n,u,uj,v
1,20,等,的,办,公,u,uj,v,n
0,21,的,办,公,厅,uj,v,n,n
0,22,办,公,厅,就,v,n,n,d
1,23,公,厅,就,在,n,n,d,p
1,24,厅,就,在,隔,n,d,p,v
1,25,就,在,隔,壁,d,p,v,n
0,26,在,隔,壁,一,p,v,n,m
1,27,隔,壁,一,间,v,n,m,f
0,28,壁,一,间,。,n,m,f,x
1,29,一,间,。,/s,m,f,x,NAN
1,0,/s,/s,再,过,NAN,NAN,d,ug
1,1,/s,再,过,去,NAN,d,ug,v
0,2,再,过,去,，,d,ug,v,x
1,3,过,去,，,就,ug,v,x,d
1,4,去,，,就,是,v,x,d,v
0,5,，,就,是,女,x,d,v,b
1,6,就,是,女,工,d,v,b,n
0,7,是,女,工,们,v,b,n,k
1,8,女,工,们,的,b,n,k,uj
0,9,工,们,的,休,n,k,uj,zg
1,10,们,的,休,息,k,uj,zg,zg
0,11,的,休,息,室,uj,zg,zg,n
0,12,休,息,室,、,zg,zg,n,x
1,13,息,室,、,餐,zg,n,x,n
1,14,室,、,餐,厅,n,x,n,n
0,15,、,餐,厅,，,x,n,n,x
1,16,餐,厅,，,和,n,n,x,c
1,17,厅,，,和,宿,n,x,c,nr
1,18,，,和,宿,舍,x,c,nr,v
0,19,和,宿,舍,。,c,nr,v,x
1,20,宿,舍,。,/s,nr,v,x,NAN
1,0,/s,/s,这,一,NAN,NAN,r,m
1,1,/s,这,一,排,NAN,r,m,v
0,2,这,一,排,房,r,m,v,n
1,3,一,排,房,子,m,v,n,ng
0,4,排,房,子,，,v,n,ng,x
1,5,房,子,，,整,n,ng,x,v
1,6,子,，,整,整,ng,x,v,v
0,7,，,整,整,有,x,v,v,v
1,8,整,整,有,五,v,v,v,m
1,9,整,有,五,大,v,v,m,a
0,10,有,五,大,间,v,m,a,f
1,11,五,大,间,，,m,a,f,x
1,12,大,间,，,和,a,f,x,c
1,13,间,，,和,机,f,x,c,n
1,14,，,和,机,器,x,c,n,n
0,15,和,机,器,房,c,n,n,n
1,16,机,器,房,、,n,n,n,x
1,17,器,房,、,晾,n,n,x,zg
1,18,房,、,晾,茶,n,x,zg,n
1,19,、,晾,茶,房,x,zg,n,n
0,20,晾,茶,房,、,zg,n,n,x
1,21,茶,房,、,冷,n,n,x,a
1,22,房,、,冷,藏,n,x,a,j
0,23,、,冷,藏,库,x,a,j,n
0,24,冷,藏,库,等,a,j,n,u
1,25,藏,库,等,成,j,n,u,n
1,26,库,等,成,为,n,u,n,p
0,27,等,成,为,一,u,n,p,m
1,28,成,为,一,个,n,p,m,q
0,29,为,一,个,字,p,m,q,n
1,30,一,个,字,形,m,q,n,n
0,31,个,字,形,建,q,n,n,v
1,32,字,形,建,筑,n,n,v,v
0,33,形,建,筑,的,n,v,v,uj
0,34,建,筑,的,，,v,v,uj,x
1,35,筑,的,，,在,v,uj,x,p
1,36,的,，,在,字,uj,x,p,n
1,37,，,在,字,形,x,p,n,n
0,38,在,字,形,正,p,n,n,d
1,39,字,形,正,中,n,n,d,f
0,40,形,正,中,的,n,d,f,uj
0,41,正,中,的,空,d,f,uj,n
1,42,中,的,空,旷,f,uj,n,nr
0,43,的,空,旷,处,uj,n,nr,n
1,44,空,旷,处,，,n,nr,n,x
1,45,旷,处,，,就,nr,n,x,d
1,46,处,，,就,成,n,x,d,n
1,47,，,就,成,为,x,d,n,p
0,48,就,成,为,了,d,n,p,ul
1,49,成,为,了,晒,n,p,ul,v
1,50,为,了,晒,茶,p,ul,v,n
1,51,了,晒,茶,场,ul,v,n,q
0,52,晒,茶,场,。,v,n,q,x
1,53,茶,场,。,/s,n,q,x,NAN
1,0,/s,/s,以,规,NAN,NAN,p,n
1,1,/s,以,规,模,NAN,p,n,n
0,2,以,规,模,来,p,n,n,v
1,3,规,模,来,论,n,n,v,zg
0,4,模,来,论,，,n,v,zg,x
1,5,来,论,，,柏,v,zg,x,nr
1,6,论,，,柏,霈,zg,x,nr,g
0,7,，,柏,霈,文,x,nr,g,n
1,8,柏,霈,文,这,nr,g,n,r
1,9,霈,文,这,家,g,n,r,q
0,10,文,这,家,茶,n,r,q,n
1,11,这,家,茶,叶,r,q,n,nr
0,12,家,茶,叶,加,q,n,nr,v
1,13,茶,叶,加,工,n,nr,v,n
0,14,叶,加,工,厂,nr,v,n,zg
0,15,加,工,厂,已,v,n,zg,d
1,16,工,厂,已,是,n,zg,d,v
1,17,厂,已,是,台,zg,d,v,q
1,18,已,是,台,北,d,v,q,ns
0,19,是,台,北,最,v,q,ns,d
1,20,台,北,最,大,q,ns,d,a
0,21,北,最,大,的,ns,d,a,uj
0,22,最,大,的,一,d,a,uj,m
1,23,大,的,一,家,a,uj,m,q
0,24,的,一,家,。,uj,m,q,x
1,25,一,家,。,/s,m,q,x,NAN
1,0,/s,/s,别,家,NAN,NAN,r,q
0,1,/s,别,家,工,NAN,r,q,n
1,2,别,家,工,厂,r,q,n,zg
0,3,家,工,厂,，,q,n,zg,x
1,4,工,厂,，,搓,n,zg,x,v
1,5,厂,，,搓,茶,zg,x,v,n
1,6,，,搓,茶,、,x,v,n,x
1,7,搓,茶,、,烤,v,n,x,v
1,8,茶,、,烤,茶,n,x,v,n
1,9,、,烤,茶,都,x,v,n,d
1,10,烤,茶,都,还,v,n,d,d
1,11,茶,都,还,在,n,d,d,p
1,12,都,还,在,用,d,d,p,p
1,13,还,在,用,人,d,p,p,n
1,14,在,用,人,工,p,p,n,n
0,15,用,人,工,的,p,n,n,uj
0,16,人,工,的,阶,n,n,uj,n
1,17,工,的,阶,段,n,uj,n,q
0,18,的,阶,段,，,uj,n,q,x
1,19,阶,段,，,柏,n,q,x,nr
1,20,段,，,柏,霈,q,x,nr,g
0,21,，,柏,霈,文,x,nr,g,n
1,22,柏,霈,文,则,nr,g,n,d
0,23,霈,文,则,都,g,n,d,d
1,24,文,则,都,用,n,d,d,p
1,25,则,都,用,机,d,d,p,n
1,26,都,用,机,器,d,p,n,n
0,27,用,机,器,来,p,n,n,v
1,28,机,器,来,取,n,n,v,v
1,29,器,来,取,代,n,v,v,q
0,30,来,取,代,了,v,v,q,ul
1,31,取,代,了,。,v,q,ul,x
1,32,代,了,。,/s,q,ul,x,NAN
1,0,/s,/s,因,此,NAN,NAN,p,zg
0,1,/s,因,此,，,NAN,p,zg,x
1,2,因,此,，,最,p,zg,x,d
1,3,此,，,最,近,zg,x,d,a
1,4,，,最,近,几,x,d,a,m
0,5,最,近,几,年,d,a,m,m
0,6,近,几,年,来,a,m,m,v
0,7,几,年,来,，,m,m,v,x
1,8,年,来,，,工,m,v,x,n
1,9,来,，,工,厂,v,x,n,zg
0,10,，,工,厂,扩,x,n,zg,v
1,11,工,厂,扩,张,n,zg,v,q
0,12,厂,扩,张,得,zg,v,q,ud
0,13,扩,张,得,非,v,q,ud,h
1,14,张,得,非,常,q,ud,h,d
0,15,得,非,常,厉,ud,h,d,nr
1,16,非,常,厉,害,h,d,nr,v
0,17,常,厉,害,，,d,nr,v,x
1,18,厉,害,，,业,nr,v,x,n
1,19,害,，,业,务,v,x,n,d
0,20,，,业,务,的,x,n,d,uj
0,21,业,务,的,发,n,d,uj,v
1,22,务,的,发,达,d,uj,v,v
0,23,的,发,达,也,uj,v,v,d
1,24,发,达,也,极,v,v,d,d
1,25,达,也,极,迅,v,d,d,zg
1,26,也,极,迅,速,d,d,zg,ng
